12480 2
committal -2.077537 -0.313535
tend -1.510197 0.223419
fetched 0.087689 -0.300067
licence -1.782978 -1.431950
giordano -0.020161 -0.573715
comprehension -1.658808 -1.453932
accumulating -2.176741 0.037004
definite 1.628174 0.462508
oregon 0.522776 0.371101
georgia -0.286508 -0.991293
murphy -0.224168 -0.544590
locals 1.851207 -2.041104
allotted -0.633971 0.750364
washita 0.957703 -2.243788
grounds -1.079734 -0.416094
bound 1.563235 1.064864
barite 1.826254 -0.887957
budget -0.501395 0.703351
linkup 2.805187 -0.985865
steep 0.690961 0.414786
milo 0.621926 -0.046552
francaise 0.470224 1.749658
irreversible 0.631262 -1.817800
kingdom 1.333508 -0.375854
concern 0.049798 1.945255
someway -1.281961 -0.465689
demonstrate -1.438189 -1.208633
benefits -0.740464 0.377730
inra 2.476568 0.512310
ne 1.768783 0.466421
howard -0.754441 0.766252
dresdner 0.775737 -1.610368
platform 0.211669 -0.921978
artillery 0.470436 -0.613765
usual 1.890561 0.886578
helicopter -0.282036 0.801021
pickles 1.015824 -1.722449
accrued -0.179318 1.883776
montano -0.538991 -0.054881
schlick 1.127344 -0.469749
degrees -2.391394 -0.527377
investigated -1.189577 1.258795
benson 0.876372 -1.988607
satisfactory 0.987497 1.072422
downtrend -2.328858 0.667027
isn 1.738349 -1.176203
j -1.399207 -0.794302
soyb -0.073777 -1.643536
baseless 0.398214 -1.913842
fragmented 2.132173 1.091103
safer -4.278593 -0.169468
emigration -0.576571 -1.353762
stiffer -1.547459 2.005012
oversee 0.579180 -1.290378
katharina 0.554589 0.222512
caucasus 0.786936 -0.758337
luck 1.954017 -0.640707
millions -0.025265 1.372118
utilities 2.102075 -0.334432
capturing -0.312337 -1.829430
boosted -1.960861 0.228231
subscription -2.469753 -1.528817
p -0.310127 -2.614886
discharges -0.612125 0.700091
yes 0.454895 2.182267
insistence 1.715020 2.263382
indefinite 1.177513 0.366897
like 2.141359 1.292196
omer -0.824600 -1.828969
eating 0.215369 -0.398650
prisoner -0.533901 2.752628
amauligak -0.686693 -0.356177
segment 0.539113 -1.408912
deviations -0.787320 -1.864888
negotiators 0.133367 -0.098824
going -1.379526 3.121285
treatment 0.721601 1.301252
hanes -0.845966 -0.299240
sab -0.931410 2.556733
guinea 1.466444 -0.808457
through 0.761939 -2.495648
gomes 0.774835 -0.205576
long -1.014431 2.342719
cst 2.876339 -1.217011
all 0.149903 -0.888675
maclaine 1.554055 0.309516
pave -1.122962 0.600399
unavoidable 1.681924 -1.161547
urges -1.434285 0.788637
strive 0.557750 -1.505235
moere 0.372510 0.370949
dimishing 0.465678 0.768704
republic 0.599323 0.554293
fairly 1.513021 -1.674803
fluctuated 1.033446 -0.155677
exporting -1.290698 0.152124
medical -0.033740 -0.412959
lobbyst 2.486897 -2.358064
attends 1.989278 -1.982690
catchup 0.105689 0.377923
prices 0.661507 -0.652927
knowledgeable 0.550659 1.567121
circumstances -0.817190 2.706014
noted 0.906391 -0.021633
seasonally -0.580100 1.853471
devalued -0.995123 -1.239349
secondary 0.486786 2.913845
meteorologists 0.600896 -0.380414
tgt 0.969958 -1.704319
bugdet -0.255092 2.506499
escalated 0.237530 1.829286
registering 0.531631 0.731843
receipts 2.542873 -0.198637
subotica -1.725876 -3.294288
excesses 1.135686 -1.093024
accounting 0.262935 -0.243403
nelissen -1.868817 0.489434
died -2.646834 0.142381
sri 1.107390 0.706544
hell 0.036350 1.366372
walker -0.139172 -2.680963
very 0.306193 0.473510
achieved 1.402457 -0.739003
fuels -1.318227 -1.873743
rabobank 0.731632 -1.034716
gilt 0.143963 -1.683731
attributed 1.507484 0.458858
excludes -0.443705 -2.566868
nicolas -2.176468 -1.224397
throughout -0.716380 -1.273767
jacket 0.001439 -0.325865
adhering -1.152110 -1.580378
sufficient -1.213154 2.613750
maekawa 2.974627 0.604369
ilaqua -2.961175 -0.450782
northwest 4.009887 1.358881
intellectual -0.127009 -1.094386
troll 1.232371 1.051431
dublin 2.292065 0.864477
depreciation -1.442377 -1.781774
rocked 0.345576 -0.413467
regardless -0.434419 2.305095
disturbances 0.054979 -2.583915
connections 0.650616 2.331378
statements 2.375256 -0.444606
sense 1.771224 -1.588641
japsper -0.348124 3.203972
ushered 1.392771 1.722707
violence 1.418846 -1.996263
kmg 0.241030 0.599734
amro -1.488166 -0.804440
conservatives 0.031530 -2.884183
strategy -1.020592 -1.960957
motivations 0.300816 2.450034
valid 1.329686 -0.566765
pl 0.093131 0.553388
harris 0.177352 -0.280562
precipitate 1.977614 -1.995155
immingham 1.959490 -0.591208
misalignment -1.063027 -1.495626
booked -1.622126 0.196229
lightening -0.811426 -0.282280
interviews -1.023469 1.478115
abundance -0.253337 0.934896
doing -0.004865 0.126131
highest 1.653744 -0.710908
impression 0.450026 0.120083
collectivites 0.714736 1.702363
accommodative -0.707191 -0.352955
sooner -0.448836 2.841973
tunisian -2.514638 -0.507966
impressive 0.498664 0.163072
inject -1.280328 0.403518
sabine -1.510507 2.132127
conservation -0.405704 2.187996
sowings -0.903489 -1.709316
before -2.067698 -0.564068
switched 1.473691 -0.003044
picture 0.794588 0.184402
palm 0.489211 0.156413
simon -1.335544 -1.891818
trader -0.157509 -2.106908
coconut 0.111696 2.523854
twelfth -1.407966 -0.765567
determinations 1.104041 0.346689
both -0.271783 0.421945
deck 0.036561 -1.322335
jumped -0.023049 -0.206374
accordingly 1.973560 1.073328
drops 1.443847 -1.278877
other -1.613549 -0.080447
decisions 1.520207 -3.047889
cannot 1.537247 0.407694
concessions -1.092182 -0.842878
saw 0.673205 0.663344
receivals -1.722884 -1.255673
action 1.932013 0.648704
voyages 0.655633 0.199282
persecution 0.763757 0.515502
decisively -0.357673 -1.271015
eliminate 0.498782 1.086441
reinforcing -0.930510 -1.521086
aramco -0.349648 -0.990837
pinned 0.700692 0.046237
concert 1.869373 0.310078
sluggish -1.224102 -1.965566
forced 1.214041 -0.048689
massing -1.485564 -0.637786
surprising -0.175808 -0.376189
enrollment 1.159835 0.544890
marlin 0.841943 -0.987936
frenetic 1.782498 -0.429823
cheaper 0.420105 0.325647
row -0.713532 1.472717
philippine -0.252589 -0.146349
necessitate 1.558676 0.050143
upheaval 1.303310 1.048150
julien 0.438110 2.817224
basic 0.590094 0.636392
confused 0.796738 0.097847
nmc -1.793623 -0.237383
savings -0.211091 0.861001
pursued -1.994778 1.670410
compares -0.882099 -1.211660
elections 0.464213 -0.698168
steepest -1.022327 -0.287175
trend -2.702058 1.566861
ending 1.926380 -0.207964
katsuhiko 0.930491 0.599414
colorado 1.566480 0.542619
subsidiaries -0.176369 1.455478
peg -0.415518 -1.480727
bacteria 0.309053 1.104715
salado -1.410227 -1.622104
belief -0.644578 1.068711
jike -0.940813 0.870023
algemene 0.931310 0.180011
bpd 0.403727 -2.195005
weights 1.204956 0.313594
inadvertantly 1.315801 0.444780
evaluation 3.272395 2.210839
kly 0.636911 2.193026
douglas 2.245010 0.100627
spurned -4.178337 -1.819532
needed -2.469527 -0.970927
administrator 1.805119 0.945284
plea 0.364201 -1.651455
wehat 1.361977 -0.335378
gigantic 1.032446 0.154515
soldiers -1.418327 0.108114
blend -0.049818 2.514734
encouraging 0.066546 2.273597
purchases 0.014112 -1.604208
controversial 0.805086 -0.630573
ask -0.391851 2.265921
abate -1.002248 1.146947
stipulated 0.653279 0.086810
dignity -0.012586 -0.884454
give 0.302681 1.103919
cp -1.756070 0.280762
reviews -1.130937 1.913916
kinds -0.374811 1.580281
replacement -2.094228 0.864710
diameter -1.421209 -1.562435
zhejiang -0.192823 -1.804142
krapels 1.071769 1.892760
indirect -3.393080 0.487208
rescue 0.798156 1.050403
entities 0.931276 -2.070988
cotton -1.339566 0.094838
wanted -1.301185 -0.351882
merge -0.717973 0.823063
finnish -0.292556 -1.899801
dimmed -1.534242 -2.172433
spotty -1.182728 0.002617
overnight 1.510407 0.985051
tide 1.668098 -1.042002
considers -0.082090 0.531174
feeding 1.002996 0.323804
snowstorm -1.963184 -0.798307
qtr -0.400514 0.031038
chevron 0.409680 -1.894728
thousands -0.108079 0.438593
huges 1.615692 0.907030
believe -1.745859 1.458617
circumvent 1.814909 0.088239
faltered 1.130856 -0.795392
bourse -1.201112 -1.968936
step -1.775902 -2.677405
replenished 0.634659 -1.695310
vows 1.303212 0.632656
unflappable -1.250448 0.051347
remaining -0.146655 1.667660
redemptions -0.385241 0.198830
permissible -0.449443 -0.966340
sits 2.274282 2.029719
negotiated 0.140544 1.815013
tentatively -2.607941 -0.019624
warrants -0.616070 -0.991487
kika 0.057912 2.668965
organizations 1.303980 0.400247
hard -4.281854 -1.619104
gidgealpa -0.731183 2.862677
adherence 1.045411 -1.069069
scope -0.577569 -1.261785
information 0.001267 -0.866136
awaiting 3.254843 -1.545868
supposedly -1.842159 -0.865464
boosts 2.431328 -1.695550
nic -0.718355 -0.481746
grants 0.545773 -2.138865
tap -1.739442 -1.534493
they 1.889493 0.825579
love 1.008672 3.664042
invitation -2.155252 -0.214989
indepedent 1.822286 -0.776648
khor 1.072722 0.811512
seed 0.133741 1.354905
beaubien 0.929658 -0.289561
fernand -1.862038 1.473994
plunged -0.854845 -1.242630
agreemend 0.688644 2.999437
movement 0.066809 0.610420
tit -1.062210 -0.114548
discord 1.741111 0.839485
understands 2.221709 2.512070
rigid 0.848169 -0.959548
mixed -0.485033 -0.379308
intense -0.880815 -0.886754
cazale 0.999552 0.851011
gross -0.452742 -2.016462
soybeans 1.921280 0.955629
protection 2.586344 -1.152403
grow -3.378815 2.264378
ultimately -0.197020 1.013606
bureaucratic 0.927584 -0.332966
bringing -0.093546 0.461951
delay 3.002477 -2.955190
bullishly 0.010575 1.307017
luxuries -1.206466 -0.892059
yielding 0.065488 1.087889
yala -0.065341 1.258997
distance 1.972399 -1.783319
hojatoleslam -0.701768 2.510682
anticipation 1.217020 -1.183371
rekindle 0.332218 1.991058
ordinating -0.551173 0.446273
guinean -1.670331 -0.830223
opportune -2.507843 2.044948
warm -0.941660 -2.277733
counter -0.566624 1.060288
practice 0.244945 -2.132522
turned 1.046323 0.689555
bumpei 1.991585 -2.248338
greenwell -0.050069 0.906750
evidenced -0.431213 -0.311794
precision 0.553566 -0.114154
signaled 0.538718 0.432687
occupied -1.119893 -0.336801
randol 0.278964 -0.794423
deliveries -1.836907 -1.187740
requests -0.732495 -0.663967
arrived 0.481739 -1.168052
lo 0.435813 -0.655333
congress 0.310987 -0.558156
minimized -2.561571 -1.614386
di 0.147182 -3.878831
broadly -1.115440 2.028966
licences -1.851533 -1.371095
leslie -0.695834 -0.937679
francoise -0.828510 -3.027045
lowest 0.001195 2.319823
authorized -0.949426 0.330963
rents 0.345213 0.211780
roberts 2.838282 -1.788217
remark 2.202322 -1.014658
lyonnais 0.941485 -0.062855
affair 3.973578 -0.808011
complement -1.250600 -0.119179
lasting 0.621955 -3.667050
deductible 1.771321 -0.118809
bumper -2.330447 -1.876625
morondava -0.274262 0.198594
language 0.463860 -2.979919
holes -0.837285 -1.277074
conducting 1.140861 1.084890
cereals -0.311609 1.152062
riskier -2.546208 2.432762
ers 1.537326 -2.216542
madrid -1.106215 0.628979
wander -3.918941 0.278414
protectionism 0.026570 2.263042
diet 0.330543 0.753347
shenzhen -0.899568 0.762495
macmillan -0.100230 1.662131
gay 0.867979 -0.807255
residential 1.746914 0.665637
heavy 1.717039 -0.515518
refund 0.893790 -2.569557
lichtbalu 0.497326 -0.989509
sending 0.749724 1.564924
distributors 1.524366 0.069931
tanurah -1.465967 -0.934431
op 0.917594 0.247761
differentiations 0.393108 -1.078524
resown -2.807187 -2.092187
sedi -1.467076 1.885751
sixth -0.702248 1.135408
breeding -2.638026 1.346860
productivity 1.551629 2.546909
hit 0.719243 -1.713390
shanley -2.564724 -0.766124
clashes 0.817914 -0.820006
defaults 1.005795 0.993427
opecna 0.301763 0.354140
open 0.673867 -1.187491
thous 1.065304 0.031373
pennzoil -0.562841 1.307275
professor -0.290069 0.030182
elaboration -1.632784 2.118553
expire 0.540384 1.777452
these -0.601879 -2.762056
klootwijk -0.320484 1.120542
having -0.920844 -0.834945
decree -0.884850 -2.798946
khark 3.418614 -2.428903
wouldn -2.014884 1.473472
backs 2.529121 0.497528
rakhsh 0.483723 0.591378
dressed 2.430201 -0.785723
digits 0.488306 1.765785
shallow -1.226289 1.367408
solely 1.314105 0.237884
favors 0.244358 0.001673
norcem -0.840349 -1.330185
azusa -2.791074 -1.107231
hani 0.189452 -2.202065
repo 0.186222 0.295570
thorvald -1.530103 1.453264
berliner 2.420926 -2.644170
wts 1.820647 0.452717
sounded 1.077790 0.462407
commerzbank -1.659842 0.643207
hopes -1.115054 0.425785
tending 0.540073 1.201437
symbolic 0.550256 -1.181072
expoloration 0.381363 -0.057962
nicolls 0.699187 2.419805
fallout -2.485250 1.999414
arrogant -0.300927 -1.899538
oral -0.673609 -0.402471
attitude -1.879467 -1.317767
powers -1.915197 -1.153191
inherent -0.830403 -0.604744
induce -0.249475 0.697971
diverse 2.302873 1.594578
maximum 0.594276 1.235835
central 1.476320 0.229825
bavadra -0.206544 -1.186794
anew 2.603066 -1.475330
bottoms -0.574028 -0.058365
excited 0.351213 -2.149516
wide 0.403663 -1.253474
federal 0.610067 -0.803890
understand 0.178930 -1.805012
seller 1.199534 -0.075472
legislation 1.147379 1.878479
sampling -2.221287 -0.319667
send -1.334551 -0.989941
kilometers 1.392207 2.756785
offs -0.227290 -0.596293
scheudled 0.668091 -0.216945
commodity -1.079920 0.231823
